Year,Course,Round,Hole,Par,Avg_Score,Eagles,Birdies,Pars,Bogeys,Doubles,Pin_X_Normalized,Pin_Y_Normalized
2025,Pebble Beach Golf Links,3,17,3,3.329,0,1,52,25,1,0.5832243912223777,0.4167756087776223
2025,Pebble Beach Golf Links,3,18,5,4.886,1,27,40,5,4,0.648600228662712,0.35139977133728795
2025,Pebble Beach Golf Links,2,1,4,3.974,0,4,32,3,0,0.5280988494808276,0.47190115051917236
2025,Pebble Beach Golf Links,2,2,5,4.385,1,24,13,0,1,0.5583160621040111,0.4416839378959889
2025,Pebble Beach Golf Links,2,3,4,3.795,0,11,25,3,0,0.44802741064056517,0.5519725893594348
2025,Pebble Beach Golf Links,2,4,4,3.692,0,18,16,4,1,0.43908920412966373,0.5609107958703363
2025,Pebble Beach Golf Links,2,5,3,3.077,0,6,25,7,1,0.6866795344332348,0.3133204655667652
2025,Pebble Beach Golf Links,2,6,5,4.744,0,16,19,2,2,0.48508204681446787,0.5149179531855321
2025,Pebble Beach Golf Links,2,7,3,2.821,0,11,24,4,0,0.5550128482472608,0.4449871517527392
2025,Pebble Beach Golf Links,2,8,4,4.231,0,4,23,11,1,0.504224828141662,0.49577517185833797
2025,Pebble Beach Golf Links,2,9,4,4.308,0,3,23,11,2,0.6311078216236771,0.36889217837632293
2025,Pebble Beach Golf Links,2,10,4,3.974,0,6,30,2,0,0.42751241356751346,0.5724875864324865
2025,Pebble Beach Golf Links,2,11,4,3.821,0,8,30,1,0,0.5033893253550458,0.49661067464495423
2025,Pebble Beach Golf Links,2,12,3,3.205,0,3,26,9,1,0.5963162773670029,0.4036837226329971
2025,Pebble Beach Golf Links,2,13,4,3.974,0,7,26,6,0,0.41684844791929904,0.5831515520807009
2025,Pebble Beach Golf Links,2,14,5,4.538,1,18,18,2,0,0.536417339869707,0.46358266013029303
2025,Pebble Beach Golf Links,2,15,4,3.872,0,6,32,1,0,0.37875746612965594,0.621242533870344
2025,Pebble Beach Golf Links,2,16,4,3.821,0,10,26,3,0,0.49835989377022427,0.5016401062297757
2025,Pebble Beach Golf Links,2,17,3,3.0,0,6,27,6,0,0.46161446578960386,0.5383855342103961
2025,Pebble Beach Golf Links,2,18,5,4.744,2,14,18,4,0,0.5021988269970642,0.4978011730029358
2025,Pebble Beach Golf Links,1,1,4,3.925,0,7,30,2,1,0.5280988494808276,0.47190115051917236
2025,Pebble Beach Golf Links,1,2,5,4.25,1,29,9,1,0,0.5583160621040111,0.4416839378959889
2025,Pebble Beach Golf Links,1,3,4,3.675,0,16,21,3,0,0.44802741064056517,0.5519725893594348
2025,Pebble Beach Golf Links,1,4,4,3.65,0,15,24,1,0,0.43908920412966373,0.5609107958703363
2025,Pebble Beach Golf Links,1,5,3,3.05,0,5,28,7,0,0.6866795344332348,0.3133204655667652
2025,Pebble Beach Golf Links,1,6,5,4.325,3,22,14,1,0,0.48508204681446787,0.5149179531855321
2025,Pebble Beach Golf Links,1,7,3,2.675,1,12,26,1,0,0.5550128482472608,0.4449871517527392
2025,Pebble Beach Golf Links,1,8,4,4.075,0,5,28,6,1,0.504224828141662,0.49577517185833797
2025,Pebble Beach Golf Links,1,9,4,4.05,0,7,26,6,0,0.6311861691638297,0.36881383083617025
2025,Pebble Beach Golf Links,1,10,4,3.9,0,6,32,2,0,0.42751241356751346,0.5724875864324865
2025,Pebble Beach Golf Links,1,11,4,3.9,0,7,31,1,1,0.5033893253550458,0.49661067464495423
2025,Pebble Beach Golf Links,1,12,3,3.15,0,4,26,10,0,0.5957070423248129,0.40429295767518714
2025,Pebble Beach Golf Links,1,13,4,3.95,0,9,24,7,0,0.41684844791929904,0.5831515520807009
2025,Pebble Beach Golf Links,1,14,5,4.975,0,9,26,2,3,0.536417339869707,0.46358266013029303
2025,Pebble Beach Golf Links,1,15,4,3.675,0,15,23,2,0,0.37875746612965594,0.621242533870344
2025,Pebble Beach Golf Links,1,16,4,3.625,0,15,25,0,0,0.49835989377022427,0.5016401062297757
2025,Pebble Beach Golf Links,1,17,3,2.9,0,7,30,3,0,0.46161446578960386,0.5383855342103961
2025,Pebble Beach Golf Links,1,18,5,4.425,0,23,17,0,0,0.5021988269970642,0.4978011730029358
